,geoid,name,asciiname,altname,lat,long,feature_class,feature_code,country_code,cc2,adm1,adm2,adm3,adm4,pop,elev,delev,timezone,moddate,ls_altname
1,2633325,Zelah,Zelah,,50.32332,-5.07897,P,PPL,GB,,ENG,C6,00HE129,,0,,76.0,Europe/London,2011-03-03,
2,2633326,Zeals,Zeals,"Zeal,Zeals",51.08558,-2.3123,P,PPL,GB,,ENG,P8,00HY259,,0,,145.0,Europe/London,2011-03-03,"['Zeal', 'Zeals']"
3,2633327,Zeal Monachorum,Zeal Monachorum,Zeal Monachorum,50.82117,-3.81898,P,PPL,GB,,ENG,D4,18UD,,0,,136.0,Europe/London,2011-03-03,['Zeal Monachorum']
4,2633328,Ythsie,Ythsie,,57.36667,-2.18333,P,PPL,GB,,SCT,T6,,,0,,49.0,Europe/London,2004-10-06,
5,2633331,Ystradowen,Ystradowen,Ystradowen,51.49056,-3.42194,P,PPL,GB,,WLS,Z3,,,0,,67.0,Europe/London,2012-01-17,['Ystradowen']
6,2633332,Ystrad Mynach,Ystrad Mynach,,51.64276,-3.2362,P,PPLA2,GB,,WLS,X4,00PK012,,0,,115.0,Europe/London,2011-03-03,
7,2633333,Ystrad-Meurig,Ystrad-Meurig,"Ystrad-Meurig,Ystradmeuric",52.28333,-3.91667,P,PPL,GB,GB,WLS,X6,,,0,,210.0,Europe/London,2013-07-11,"['Ystrad-Meurig', 'Ystradmeuric']"
8,2633334,Ystradgynlais,Ystradgynlais,"Ystradgunlais,Ystradgynlais",51.76667,-3.76667,P,PPLA3,GB,GB,WLS,Y8,00NN110,,0,,68.0,Europe/London,2011-07-31,"['Ystradgunlais', 'Ystradgynlais']"
9,2633335,Ystrad-ffin,Ystrad-ffin,"Capel Ystradffin,Ystrad-ffin",52.1,-3.76667,P,PPL,GB,GB,WLS,X7,,,0,,399.0,Europe/London,2013-07-11,"['Capel Ystradffin', 'Ystrad-ffin']"
10,2633336,Ystradfellte,Ystradfellte,Ystradfellte,51.80897,-3.55299,P,PPL,GB,,WLS,Y8,00NN109,,0,,252.0,Europe/London,2011-03-03,['Ystradfellte']
11,2633337,Ystalyfera,Ystalyfera,"Ystalfera,Ystalyfera",51.76716,-3.78082,P,PPL,GB,,WLS,Y5,00NZ031,,10218,,74.0,Europe/London,2011-03-03,"['Ystalfera', 'Ystalyfera']"
12,2633338,Yspytty-Ystwyth,Yspytty-Ystwyth,,52.33333,-3.86667,P,PPL,GB,,WLS,X6,,,0,,165.0,Europe/London,2013-07-11,
13,2633339,Ysbyty Ifan,Ysbyty Ifan,"Yspytty Evan,Yspytty-Ifan",53.01667,-3.73333,P,PPL,GB,,WLS,Y2,,,0,,246.0,Europe/London,2013-12-06,"['Yspytty Evan', 'Yspytty-Ifan']"
14,2633340,Yspytty Cynfyn,Yspytty Cynfyn,"Yspytty Cyfyn,Yspytty Cynfyn",52.4,-3.83333,P,PPL,GB,GB,WLS,X6,,,0,,212.0,Europe/London,2013-07-11,"['Yspytty Cyfyn', 'Yspytty Cynfyn']"
15,2633344,Yoxford,Yoxford,Yoxford,52.26819,1.50681,P,PPL,GB,,ENG,N5,42UG,,0,,16.0,Europe/London,2011-03-03,['Yoxford']
16,2633345,Yoxall,Yoxall,Yoxall,52.76659,-1.79068,P,PPL,GB,,ENG,M9,41UC,,0,,66.0,Europe/London,2011-03-03,['Yoxall']
17,2633346,Youlgreave,Youlgreave,,53.17399,-1.69044,P,PPL,GB,,ENG,D3,17UF,,0,,187.0,Europe/London,2010-11-07,
18,2633347,Yorton,Yorton,Yorton,52.80921,-2.73854,P,PPL,GB,,ENG,L6,00GG130,,0,,87.0,Europe/London,2011-03-03,['Yorton']
19,2633352,York,York,"Aebura,Eabhrac,Eabhraig,Eboracum,Efrog,Eoforwic,Everoui,Evrek,Giork,Gorad Jork,Jork,Jorka,Jorkas,Jorvik,Jórvík,QQY,York,yark,yokeu,yoku,yorka,yue ke,ywrk,ywrq,yxrk,Évèroui,Γιορκ,Јорк,Горад Ёрк,Йорк,Յորք,יורק,يورك,یارک,یورک,یۆرک,यॉर्क,யார்க்,ยอร์ก,იორკი,ヨーク,約克,요크",53.95763,-1.08271,P,PPLA2,GB,,ENG,Q5,,,144202,,17.0,Europe/London,2012-03-30,"['Aebura', 'Eabhrac', 'Eabhraig', 'Eboracum', 'Efrog', 'Eoforwic', 'Everoui', 'Evrek', 'Giork', 'Gorad Jork', 'Jork', 'Jorka', 'Jorkas', 'Jorvik', 'J\xc3\xb3rv\xc3\xadk', 'QQY', 'York', 'yark', 'yokeu', 'yoku', 'yorka', 'yue ke', 'ywrk', 'ywrq', 'yxrk', '\xc3\x89v\xc3\xa8roui', '\xce\x93\xce\xb9\xce\xbf\xcf\x81\xce\xba', '\xd0\x88\xd0\xbe\xd1\x80\xd0\xba', '\xd0\x93\xd0\xbe\xd1\x80\xd0\xb0\xd0\xb4 \xd0\x81\xd1\x80\xd0\xba', '\xd0\x99\xd0\xbe\xd1\x80\xd0\xba', '\xd5\x85\xd5\xb8\xd6\x80\xd6\x84', '\xd7\x99\xd7\x95\xd7\xa8\xd7\xa7', '\xd9\x8a\xd9\x88\xd8\xb1\xd9\x83', '\xdb\x8c\xd8\xa7\xd8\xb1\xda\xa9', '\xdb\x8c\xd9\x88\xd8\xb1\xda\xa9', '\xdb\x8c\xdb\x86\xd8\xb1\xda\xa9', '\xe0\xa4\xaf\xe0\xa5\x89\xe0\xa4\xb0\xe0\xa5\x8d\xe0\xa4\x95', '\xe0\xae\xaf\xe0\xae\xbe\xe0\xae\xb0\xe0\xaf\x8d\xe0\xae\x95\xe0\xaf\x8d', '\xe0\xb8\xa2\xe0\xb8\xad\xe0\xb8\xa3\xe0\xb9\x8c\xe0\xb8\x81', '\xe1\x83\x98\xe1\x83\x9d\xe1\x83\xa0\xe1\x83\x99\xe1\x83\x98', '\xe3\x83\xa8\xe3\x83\xbc\xe3\x82\xaf', '\xe7\xb4\x84\xe5\x85\x8b', '\xec\x9a\x94\xed\x81\xac']"
20,2633354,Yokefleet,Yokefleet,,53.70805,-0.75738,P,PPL,GB,,ENG,E1,00FB018,,0,,5.0,Europe/London,2011-03-03,
21,2633355,Yockleton,Yockleton,Yockleton,52.68547,-2.88917,P,PPL,GB,,ENG,L6,00GG187,,0,,98.0,Europe/London,2011-03-03,['Yockleton']
22,2633363,Yiewsley,Yiewsley,,51.51326,-0.47297,P,PPL,GB,,ENG,GLA,F9,,0,,33.0,Europe/London,2010-05-24,
23,2633366,Yetminster,Yetminster,Yetminster,50.89579,-2.57959,P,PPL,GB,,ENG,D6,19UH,,0,,62.0,Europe/London,2011-03-03,['Yetminster']
24,2633367,Yetlington,Yetlington,,55.3819,-1.96856,P,PPL,GB,,ENG,J6,00EM031,,0,,190.0,Europe/London,2011-03-03,
25,2633370,Yerbeston,Yerbeston,,51.746,-4.80767,P,PPL,GB,,WLS,Y7,00NS026,,0,,63.0,Europe/London,2011-03-03,
26,2633371,Yeovilton,Yeovilton,YEO,51.00359,-2.64898,P,PPL,GB,,ENG,M3,40UD,,0,,19.0,Europe/London,2011-03-03,['YEO']
27,2633373,Yeovil,Yeovil,"Giuela,Jeovil',Jouvil,Jouvilis,Yeovil,yobil,Йеовиль,Йоувил,요빌",50.94159,-2.63211,P,PPL,GB,,ENG,M3,40UD,,43733,,55.0,Europe/London,2011-03-03,"['Giuela', ""Jeovil'"", 'Jouvil', 'Jouvilis', 'Yeovil', 'yobil', '\xd0\x99\xd0\xb5\xd0\xbe\xd0\xb2\xd0\xb8\xd0\xbb\xd1\x8c', '\xd0\x99\xd0\xbe\xd1\x83\xd0\xb2\xd0\xb8\xd0\xbb', '\xec\x9a\x94\xeb\xb9\x8c']"
28,2633375,Yeoford,Yeoford,,50.77607,-3.7273,P,PPL,GB,,ENG,D4,18UD,,0,,68.0,Europe/London,2011-03-03,
29,2633381,Yelverton,Yelverton,"Yelverton,Yervilton",52.56667,1.36667,P,PPL,GB,,ENG,I9,33UH,,186,,44.0,Europe/London,2012-05-05,"['Yelverton', 'Yervilton']"
30,2633382,Yelverton,Yelverton,,50.4929,-4.08382,P,PPL,GB,,ENG,D4,18UL,,1001,,193.0,Europe/London,2012-04-12,
31,2633383,Yelvertoft,Yelvertoft,Yelvertoft,52.37335,-1.12154,P,PPL,GB,,ENG,J1,34UC,,0,,116.0,Europe/London,2011-03-03,['Yelvertoft']
32,2633385,Yelling,Yelling,Yelling,52.2462,-0.15321,P,PPL,GB,,ENG,C3,12UE,,0,,51.0,Europe/London,2010-05-24,['Yelling']
33,2633388,Yelford,Yelford,Yelford,51.73333,-1.48333,P,PPL,GB,,ENG,K2,38UF,,0,,65.0,Europe/London,2012-01-17,['Yelford']
34,2633389,Yelden,Yelden,,52.29299,-0.51584,P,PPL,GB,,ENG,Z5,,,0,,67.0,Europe/London,2013-07-11,
