nutsid,region,code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
,UNITED KINGDOM,ABML,"787,385","825,241","856,912","911,113","948,193","999,013","1,066,274","1,123,237","1,189,172","1,259,084","1,327,944","1,368,717","1,345,046","1,400,684","1,441,598","1,475,948","1,525,304"
,England,TMQF,"663,294","698,890","727,752","767,973","800,731","845,981","902,518","949,763","1,003,375","1,057,878","1,120,041","1,151,980","1,135,262","1,187,364","1,220,147","1,255,768","1,297,667"
UKC,North East,TMPW,"24,893","25,654","26,594","27,667","28,985","31,115","33,087","36,261","38,323","40,467","41,214","42,229","41,171","42,424","43,731","44,000","45,374"
UKC1,Tees Valley and Durham,AEL2,"10,757","11,059","11,696","12,242","12,085","12,763","14,023","15,439","15,588","16,776","17,118","17,742","17,593","18,194","18,127","18,101","18,780"
UKC11,Hartlepool and Stockton-on-Tees,C2ZM,"2,906","3,038","3,409","3,414","3,266","3,413","3,666","4,107","4,338","4,504","4,568","4,729","4,772","4,712","4,860","4,721","4,889"
UKC12,South Teesside,C2ZN,"2,575","2,634","2,870","2,939","2,779","3,007","3,216","3,811","3,828","4,000","4,107","4,261","4,180","4,288","4,246","4,291","4,414"
UKC13,Darlington,C2ZO,"1,180","1,209","1,288","1,326","1,467","1,571","1,782","1,843","1,742","1,938","2,020","2,068","2,022","2,329","2,237","2,240","2,138"
UKC14,Durham CC,C2ZP,"4,096","4,177","4,129","4,563","4,573","4,771","5,359","5,678","5,680","6,333","6,424","6,683","6,619","6,864","6,785","6,848","7,340"
UKC2,Northumberland and Tyne and Wear,AEL3,"14,136","14,596","14,898","15,425","16,900","18,353","19,064","20,823","22,735","23,691","24,096","24,487","23,578","24,231","25,604","25,899","26,594"
UKC21,Northumberland,C2ZQ,"2,616","2,669","2,566","2,725","2,854","3,195","3,306","3,452","3,653","3,889","3,951","4,027","3,895","3,946","4,104","4,183","4,257"
UKC22,Tyneside,C2ZR,"8,489","8,810","9,296","9,491","10,410","11,297","11,685","12,905","14,132","14,915","15,047","15,511","14,877","15,509","16,657","16,650","17,181"
UKC23,Sunderland,C2ZS,"3,032","3,117","3,036","3,208","3,636","3,861","4,073","4,465","4,950","4,887","5,097","4,949","4,807","4,776","4,842","5,065","5,155"
UKD,North West,TMPX,"77,527","81,751","85,312","87,314","92,445","97,997","103,721","111,229","115,544","123,264","129,014","130,392","131,081","135,507","134,040","136,641","141,620"
UKD1,Cumbria,AEL4,"5,650","5,912","5,680","5,790","5,898","6,183","6,993","7,480","7,217","8,259","8,548","8,927","8,820","9,327","9,077","9,431","9,674"
UKD11,West Cumbria,C2ZT,"2,609","2,684","2,507","2,555","2,582","2,691","3,036","3,228","3,047","3,563","3,659","3,809","3,981","4,257","4,238","4,308","4,455"
UKD12,East Cumbria,C2ZU,"3,041","3,227","3,174","3,235","3,316","3,492","3,956","4,250","4,170","4,696","4,890","5,118","4,839","5,070","4,838","5,123","5,220"
UKD3,Greater Manchester,AEL6,"29,172","30,961","32,859","33,416","35,617","37,442","39,526","42,943","44,674","47,338","49,676","49,685","50,715","52,521","51,678","53,788","56,265"
UKD31,Greater Manchester South,C2ZX,"18,776","19,985","21,333","21,871","23,654","24,900","25,936","28,740","29,634","31,450","33,127","33,082","34,491","35,650","34,945","36,583","38,645"
UKD32,Greater Manchester North,C2ZY,"10,396","10,976","11,526","11,545","11,963","12,542","13,589","14,203","15,040","15,889","16,549","16,602","16,224","16,871","16,734","17,205","17,620"
UKD4,Lancashire,AEL7,"15,603","16,047","16,636","17,213","17,592","18,645","19,931","21,536","22,353","22,772","24,192","24,204","23,876","24,403","24,471","24,726","25,525"
UKD41,Blackburn with Darwen,C2ZZ,"1,515","1,567","1,608","1,648","1,642","1,711","1,858","2,017","2,036","2,039","2,259","2,335","2,193","2,201","2,263","2,294","2,414"
UKD42,Blackpool,C322,"1,332","1,376","1,468","1,455","1,508","1,649","1,573","1,697","1,787","1,877","1,836","1,756","1,854","1,956","1,936","1,930","2,023"
UKD43,Lancashire CC,C323,"12,756","13,103","13,560","14,110","14,442","15,285","16,500","17,822","18,531","18,857","20,097","20,113","19,830","20,246","20,272","20,502","21,088"
UKD6,Cheshire,KT3T,"12,386","13,078","13,595","13,528","15,364","16,399","17,035","17,788","19,187","20,941","22,109","22,457","21,823","22,699","22,272","22,381","23,154"
