namekey	humandef	lan_notes	wiki_codes	human_namekey
aberP	mouth of a river	common brittonic	C, W, P, K	aber- 
acPaccPockS	accorn or oak tree	old english	OE	ac-, acc-, -ock
afonSavonQ	river		W, SG, K, I	-afon, avon
arPardP	high, height		I, SG	ar-, ard-
ashP	ash tree		OE	ash-
astP	east		OE	ast-
auchenPauchinPauchachP	field		I, SG	auchen-, auchin-, auchach-
auchterP	height, top of something		I, SG	auchter-
axPexePaxeAeskA	water		Bry	ax-, exe-, axe, usk, esk
aySeyS	island		OE, ON	-ay, -ey
balPballaPballyPballP	farm, homestead		SG, I	bal-, balla-, bally-, ball-
beckPbeckSbecA	stream		OE, ON	beck-, -beck , bec
benAbeinnQBeannQ	mountain		SG	ben, beinn, beann
bergQberryS	hill		OE, ON	berg, -berry
bexP	box, the tree		OE	bex
blenPblaenP	hell, hill, upland		C, W	blen-, blaen-
bostS	farm, homestead		ON	-bost
bournePbourneSburnS	large brook, large stream, small river		OE	bourne-, -bourne, -burn
bradP	broad		OE	brad-
breP	hill		C, W, K	bre-
burySboroughSbroughSburghS	fortified enclosure		OE	-bury, -borough, -brough, -burgh
bySbiP	settlement, village		ON	-by, -bi
cardenScardineS	thicket		P	-carden, -cardine
caerPcarP	camp, fortification		C, W, L	caer-, car-
casterSchasterScesterSceterScaisterQxeterS	camp, fortification		OE, L	-caster, -chaster, -cester, -ceter, caister, -xeter
cheapQchepPchippingA	market		OE	cheap, chep-, chipping
combeScwmPcoombeA	valley		Bry	-combe, cwm-, coombe
coedS	wood, forest		W	-coed
cotScottS	cottage, small building 		OE, W	-cot, -cott
craigPcraigAcragPcragAcreagPcreagAgraigPgraigA	a jutting rock		Bry, SG, I	craig-, craig, crag-, crag, creag, graig-, griag
culP	narrow		C	cul-
cumI	with		L	-cum-
cwmPcumP	valley		W, C	cwm-, cum-
dalP	meadow, low lying area by river		SG, I	dal-
daleS	valley, allotment		OE/ON	-dale
deanSdeanAdenSdonS	valley		OE	-dean, dean, -den, -don
dinPdinasPdinasA	fort		W	din-, dinas-, dinas
dolPdullA	meadow, low lying area by river		Bry, P, W	dol-, dull
donSdenS	hill, down		Bry, OE	-don, -den
drumP	ridge, back		SG, I	drum-
dubhSdubhPdubhAdowQdhuQduffQ	black		SG, I	-dubh, dubh-, dubh, dow, dhu, duff
dunPdumPdonPdouneQ	fort		SG, I	dun-, dum-, don-, doune
eaglesPeglosPeglewsPecclesP	church		W, L	eagles-, eglose-, eglews-, eccles-
eilianA	island		I, SG	eilian
eySayS	enclosure		OE	-ey, -ay
eySeaQeigQ	island		OE	-ey, -ea, -eig
fieldS	open land, a forest clearing		OE	
finP	while, holy		SG	fin-
firthSfrithQ	wood or woodland		OE	-firth, frith
firthSfirthA	fjord, inlet		ON	-firth, firth
fordSforthS	ford, crossing		OE	-ford, -forth
fosQfossSfossA	ditch		L, OE	fos, -foss, foss
fossQforceA	waterfall		ON	foss, force
garPgartP	enclosed field		SG	gar-, gart-
garthS	enclosure		ON	-garth
gateAgateS	road		ON	gate, -gate
gillPgillSghyllPghyllA	ravine, narrow gully		ON	gill-, -gill, ghyll-, ghyll
glenPglenSglenA	narrow valley, dale		SG, I	glen-, -glen, glen
gowtA	water outfall, sluice, drain	ON		gowt
hamS	farm, homestead		OE	-ham
hitheShytheA	wharf, place for langing boats		OE	-hithe, hythe
holmQ	island		OE	holm
hopeS	valley, enclosed area		OE	-hope
howeA	mound, hill, knoll		ON	howe
hurstShirstS	hill		OE	-hurst, -hirst
inchPinchAinschA	island, dry area in marsh		I, SG	inch-, inch, insch
ingS	people of		OE	-ing
ingIingeS	place, small stream		OE	-inglinge
inverPinnerP	mouth of (a river), confluence, a meeting of waters		SG	inver-, inner-
keldAkeldS	spring		ON	keld, -keld
kethSchethS	wood		C	-keth, -cheth
kilP	monastic cell, old church		SG, I	kil-
kinP	head		SG, I	kin-
kingP	king, tribal leader		OE, ON	king-
kirkPkirkS	church		ON	kirk-, -kirk
knockPknockA	hill		I, SG	knock-, knock
kylePkylesP	narrows		SG	kyle-, kyles-
lanPlhanPllanP	church, churchyard, village with church, parish		C, K, P, W	lan-, lhan-, llan-
langP	long		OE, ON	lang-
lawQlowQ	a rounded hill		OE	law, low
leI	in the vicinity of, near to		NF	-le-
leaSleySleighSleighA	a woodland clearing		OE	-lea, -ley, -leigh, leigh
linPllynA	lake, water		Bry, C, W	lin-, llyn
lingPlyngP	heather		OE, ON	ling-, lyng-
lochAloughAloughsA	lake, a sea inlet		SG, I	loch, lough, loughs
magnaA	great		L	magna
mawrAmawrS	large, great		W	mawr, -mawr
mereSmerS	lake, pool		OE	-mere, -mer
minsterAminsterS	large church, monastery		OE	minster, -minster
moreS	large, great		I, SG	-more
mossPmossA	swamp, bog		OE	moss-, moss
mouthS	mouth (of a river), bay		ME	-mouth
mynyddPmynyddA	mountain		W	mynydd-, mynydd
nanPnansPnancP	valley		K	nan-, nans-, nanc-
nantP	ravine, the stream in ravine		C, W	nant-
nessS	promontory, headland		OE, ON	-ness
norP	north		OE	nor-
pantA	a hollow		W	pant
parvaA	little		L	parva
penP	head, headland, hill		C, K, W	pen-
pitP	portion, share, farm		P	pit-
polP	pool, lake		C, K	pol-
pontPpontS	bridge		L, K, W, C	pont-, -pont
poolS	harbour			-pool
portSportA	port, harbour		ME	-port, port
porthP	harbour		K, W	porth-
shawAshawS	a wood		OE	shaw, -shaw
shepPshipP	sheep		OE	shep-, ship-
stanP	stone, stony		OE	stan-
steadS	place, small stream		OE	-stead
sterS	farm		ON	-ster
stokeAstokeS	dependent farmstead, secondary settlement		OE	stoke, -stoke
stowPstowAstowSstolS	(holy) place of assembly		OE	stow-, stow, -stow, -stol
strathP	wide, valley, vale		SG	strath-
streatQstreetQ	road		L, OE	streat, street
sudPsutP	south		OE	sud-, sut-
swinP	pigs, swine		OE	swin-
tarnP	lake		ON	tarn-
thorpPthorpePthorpeSthorpesS	secondary settlement		ON	thorp-, thorpe-, -thorpe, -thorpes
thwaiteStwattStwattA	a forest clearing with a dwelling, or parcel of land		ON	-thwaite, -twatt, -twatt
tillyPtulliePtullouchPtilliPtulliP	hillcock		SG	tilly-, tullie-, tullouch-, tilli-, tulli-
toftS	homestead		ON	-toft
treP	settlement		C, K, W	tre-
treathQdreathS	beach		K	treath, -dreath
tunPtunStonStonI	enclosere, estate, homestead		OE	tun-, -tun, -ton, -ton-
uponI	by/upon a river		ME	-upon-
wealdPwoldS	high woodland		OE	weald-, -wold
whelP	mine or cave		C	whel-
wickSwichSwychSwykeS	place, settlement		L, OE	-wick, -wich, -wych, -wyke
wickS	bay		ON	-wick
winP	(unknown)		Bry	win-
worthSworthySwardineS	enclosure		OE	-worth, -worthy, -wardine
ynysA	island		W	ynys
